Storm ID,Name,Year,Landfall Code,Coastal Counties within RMW,State,FIPS Code,Landfall Population,2022 Population,Landfalling Housing Units,2022 Housing Units
AL092017,Harvey,2017,LF1_Total,Total First ,,,482864,472910,210077,215411
AL112017,Irma,2017,LF1,Monroe,FL,12087,"76,556",81708,"53,590","54,862"
AL112017,Irma,2017,LF1,Collier,FL,12021,"373,286",397994,"214,308","240,238"
AL112017,Irma,2017,LF1,Lee,FL,12071,741188,822453,392885,442027
AL112018,Irma,2017,Total_All,Total All,,,"1,191,030",1302155,"660,783","737,127"
AL142018,Michael,2018,LF1,Bay,FL,12005,"186,555","185,134","104,312","108,675"
AL142018,Michael,2018,LF1,Gulf,FL,12045,"16,137","15,314","9,704","9,363"
AL142018,Michael,2018,LF1_Total,Total First ,,,"202,692","200,448","114,016","118,038"
AL142018,Michael,2018,DIL1,Georgia State,GA,,"4,891,628","5,074,296","4,325,468","4,539,156"
AL142018,Michael,2018,DIL2,Alabama State,AL,,"10,519,389","10,912,876","2,270,707","2,339,582"
AL062018,Florence,2018,LF1,Brunswick,NC,37019,"137,071",153064,"92,080","98,132"
AL062018,Florence,2018,LF1,New Hanover,NC,37129,"232,566",234921,"113,133","120,181"
AL062018,Florence,2018,LF1,Pender,NC,37141,"62,121",65737,"29,561","31,765"
AL062018,Florence,2018,LF1,Onslow,NC,37133,"197,069","207,298","80,138","87,540"
AL062019,Florence,2018,LF1_Total,Total First ,,,"628,827",661020,"314,912","337,618"
AL132020,Laura,2020,LF1,Cameron Parish,LA,22023,"5,623",4902,"4,194","4,018"
AL132020,Laura,2020,LF1_Total,Total First ,,,5623,4902,"4,194","4,018"
AL132020,Laura,2020,DIL1,Texas State,TX,,"29,232,474","30,029,572",11639842,12136678
AL132020,Laura,2020,DIL2,Arkansas State,AR,,"3,014,195","3,045,637",1368219,1395709
AL132020,Laura,2020,DIL3,Tennesee State,TN,,"6,925,619","7,051,339",3040712,3144618
AL132020,Laura,2020,DIL4,Mississippi State,MS,,"2,958,141","2,940,057",1321936,1342831
AL192020,Sally,2020,LF1,Baldwin ,AL,1003,"233,219","246,435","124,916","132,300"
AL192020,Sally,2020,LF1,Escambia,FL,12033,"322,551","324,878","145,742","149,482"
AL192020,Sally,2020,LF1,Mobile,AL,1097,414353,411411,184563,186226
AL192020,Sally,2020,LF1_Total,Total First ,,,"970,123","982,724","455,221","468,008"
AL092021,Ida,2021,LF1,Jefferson Parish,LA,22051,"433,929",425884,"194,139","194,761"
AL092021,Ida,2021,LF1,Lafourche Parish,LA,22057,"97,537",95870,"41,405","41,826"
AL092021,Ida,2021,LF1,Terrebonne,LA,22109,"109,013",104786,47558,47808
AL092021,Ida,2021,LF1_Total,Total First ,,,"640,479",626540,"283,102","284,395"
AL092021,Ida,2021,DIL1,New Jersey State,NJ,,"9,267,961","9,261,699",3779565,3785346
AL092021,Ida,2021,DIL2,Pennsylvania State,PA,,"13,012,059","12,972,008",5770414,5815392
AL092021,Ida,2021,DIL3,New York State,NY,,"19,857,492","19,677,151",8536791,8586228
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
