Storm ID,Storm Name,Landfall_ID_Muller,BE Damage_Grinsted_2019,BE Damage_Weinkle_2018,Monthly Weather Review ,Damage Description Monthly Weather Review,  BE Damage_Muller et al,Updates from NCEI (obtained May 2024),Damage details if available_Muller et al_dataset,Loss States_Muller,Reference for Muller et al. dataset,DOI for Muller et al. dataset,Direct Link (if DOI is unavailable)
AL021972,Agnes,LF3,None,None,NA,NA,"702,502,000",NA,"702,502,000 in NY",NY,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 92",Not available ,
AL021972,Agnes,DIL4,"2,000,000,000","2,000,000,000",NA,NA,"2,119,269,000",NA,"2,119,269,000 in PA",PA,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 93",Not available ,
AL131975,Eloise,LF1,"490,000,000","490,000,000","500,000,000",,"500,000,000",NA,"Northwest FL: $100,000,000 (coastal property), Eastern AL: $100,000,000 (property & crops), Northeast US: $300,000,000 (crop & road damage)","FL, AL, NE","Hebert, P.J. The Atlantic Hurricane Season of 1975, Monthly Weather Review, Weather Bureau Office Miami, Fla. April 1976. VOL 104, pp. 461",https://doi.org/10.1175/1520-0493(1976)104<0453:AHSO>2.0.CO;2,
AL111979,Frederic,LF1,"2,300,000,000","2,300,000,000","2,300,000,000",,"2,300,000,000",NA,"Mobile & Baldwin Counties, AL; Escambia County, FL; Jackson & Harris Counties, MS","FL,AL,MS","Hebert, P.J. The Atlantic Hurricane Season of 1979, Monthly Weather Review, Weather Bureau Office Miami, Fla. July 1980. VOL 108, pp. 987",https://doi.org/10.1175/1520-0493(1980)108<0973:AHSO>2.0.CO;2,
AL031983,Alicia,LF1,"3,000,000,000","2,000,000,000","2,000,000,000",2 billion estimated total loss,"3,000,000,000","3,000,000,000",NCEI,TX,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73 ,
AL111989,Hugo,LF1,"7,000,000,000","7,000,000,000","7,000,000,000",7 billion US Mainland,"9,000,000,000","9,000,000,000",NCEI,SC,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73 ,
AL041992,Andrew,LF1,"24,000,000,000","31,500,000,000 TOTAL","20-25,000,000,000",Table Page 531,"26,000,000,000","26,000,000,000",NCEI,FL,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73 ,
AL041992,Andrew,LF2,"1,000,000,000","31,500,000,000 TOTAL","1,000,000,000",Table Page 531,"1,000,000,000","1,000,000,000",NCEI,LA,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73 ,
AL171995,Opal,LF1,"4,700,000,000","3,000,000,000","3,000,000,000","PCS insured property damage for the United States is $2.1 billion. Considerable uncertainty exists concerning the amount of additional damage due to flood claims, uninsured property damage (including damage to roads and bridges and other government property), and the cost of cleanup. Based on this, the total damage estimate from Hurricane Opal is $3 billion.","4,700,000,000","4,700,000,000",NCEI,"FL, AL","NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL061996,Fran,LF1,"5,000,000,000","3,200,000,000","3,200,000,000","The American Insurance Services Group reports that Fran caused an estimated $1.6 billion dollars in insured property damage to the United States. This estimate includes $1.275 billion in North Carolina, $20 million in South Carolina, $175 million in Virginia, $50 million in Maryland, $20 million in West Virginia, $40 million in Pennsylvania, and $20 million in Ohio. Using the previously mentioned ratio of two to one between total damage and insured property damage, the total U.S. damage estimate for Fran is $3.2 billion.","5,000,000,000","5,000,000,000",NCEI,"NC, SC","NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL081999,Floyd,LF1,"6,500,000,000","4,500,000,000","4,500,000,000","In the United States, PCS Insurance Services Office reports that insured losses due to Floyd totaled $1.325 billion. In comparison to most hurricane landfalls, Floyd caused an inordinately large amount of freshwater flood damage, which probably alters the two to one damage ratio. The damage estimate is $4.5 billion.","6,500,000,000","6,500,000,000",NCEI,Mid Atlantic and NE USA,"NOAA Technical Memorandum NWS NHC-6 THE DEADLIEST, COSTLIEST, AND MOST INTENSE UNITED STATES TROPICAL CYCLONES FROM 1851 TO 2010 (AND OTHER FREQUENTLY REQUESTED HURRICANE FACTS) Eric S. Blake",https://doi.org/10.25921/stkw-7w73,
AL012001,Allison,LF1,"8,500,000,000",Doesnt Include,"5,000,000,000","Damage estimates from the Federal Emergency Management Agency (FEMA) and state emergency management agencies were near $5 billion, with approximately $4.9 billion in the Houston metropolitan area. Damage estimates in the Houston area included $2.04 billion to public facilities (especially the Texas Medical Center), $1.76 billion to residential properties, and $1.08 billion to businesses.","8,500,000,000","8,500,000,000",NCEI,TX,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL132003,Isabel,LF1,"5,500,000,000","3,370,000,000","3,370,000,000","The insured property damage reported by the Property Claim Services Division of the American Insurance Services Group, the Insurance Services Office, Inc. totals $1.685 billion to $925 million in Virginia, $410 million in Maryland, $170 million in North Carolina, $80 million in Pennsylvania, $45 million in New York, $25 million in New Jersey, $20 million in Delaware, and $10 million in West Virginia. The total damage for Isabel is estimated to be about twice that of the insured damage, or $3.37 billion.","5,500,000,000","5,500,000,000",NCEI,NC,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL032004,Charley,LF1,"16,000,000,000","14,000,000,000 TOTAL","15,000,000,000","Insured damage in the United States from Hurricane Charley is estimated to be near $7.48 billion. The total damageis estimated to be near $15 billion, which makes Charley the second costliest hurricane in U.S. history, behind only Andrew of 1992.","16,000,000,000","16,000,000,000",NCEI,FL,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL032004,Charley,LF2,"90,000,000","14,000,000,000 TOTAL",,NA,"375,000,000",250M-500M,NCEI: Only a range of 250-500 million is given so we use the median,SC,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
AL062004,Frances,LF1,"9,800,000,000","9,000,000,000","8,900,000,000","Damage was extensive from Palm Beach County northward to Brevard County and inland along the track of Frances. Insured damage in the United States is estimated to be near $4.43 billion, of which $4.11 billion occurred in Florida. Total U.S. damage is estimated to be $8.9 billion.","9,800,000,000","9,800,000,000",NCEI,FL,"NOAA National Centers for Environmental Information (NCEI) U.S. Billion-Dollar Weather and Climate Disasters (2024). https://www.ncei.noaa.gov/access/billions/,",https://doi.org/10.25921/stkw-7w73,
